article_id,newspaper_name,publishing_date,page_number,article_title,transcription_gt,ocr_raw
14,Bintang Timur,1963-03-03,1,"Masuknja ''peace corps"" AS mendapat tantangan (Usaha utk tingkatkan hidup Rakjat djuga mau didjegal)","Mengenal akan didatangkannja 100 orang sardjana AS dalam ranga ""peace corps"" AS itu telah mendapatkan tantangan dari berbagai organisasi massa, termasuk al. dari organisasi2 mahasiswa Indonesia.","Mengenai akan didatanykao-
nja 100 orang sardjana AS da-
Jam rangka “peace corps"" AS
itu telah mendapat tentangam
dart berbagai organisasi massa,
termasuk al. dari organisasi2
mahasiswa Indonesia."
15,Bintang Timur,1963-03-03,1,"Masuknja ''peace corps"" AS mendapat tantangan (Usaha utk tingkatkan hidup Rakjat djuga mau didjegal)","Sebagaimana telah banjak diberitakan bahwa ""peace corps"" AS dibanjak negara telah ditolak, karena oleh Rakjat2 negara tsb dianggap sama dengan mengundang intervensi asing, mengundang neo-kolanisme kedalam rumah.","Sebagaimana telah banjak dt-
beritukan; bahwa “peace corps”
AS ti dibanjak negara telah di-
tolak, karena oleh Rakjat2 ne
gara tsb. dianggap sama dengan
mengundang intervensi asing,
mengundang  neo-kolontalisme

kedalam rumah."
16,Bintang Timur,1963-03-03,1,"Masuknja ''peace corps"" AS mendapat tantangan (Usaha utk tingkatkan hidup Rakjat djuga mau didjegal)","PP. CGMI dalam komunkenja al. mengatakan, bahwa mendatangkan ,,peace corps"" berarti berusaha menantang pasal 3 Pantja Program Front Nasional jang berbunji ,,mene","PP. CGMI dalam komuni-
kenje al. mengaakan, bahwa men
datangkan ,,peace corps’ ber
ard berusaha menantang pe-
sal 3 Pantja Program Front
Nasional jang berbunji ,.mene-"
17,Bintang Timur,1963-03-03,1,"Masuknja ''peace corps"" AS mendapat tantangan (Usaha utk tingkatkan hidup Rakjat djuga mau didjegal)",ruskan perdjuangan anti imperialisme dan neo-kolanisme de,"Tuskan perdjuangan anti tmpe-
lisme dan neo*kolonalisme de-"
18,Bintang Timur,1963-03-03,1,"Masuknja ''peace corps"" AS mendapat tantangan (Usaha utk tingkatkan hidup Rakjat djuga mau didjegal)","ngan memperkuat kegotongrojongan Nasiona Revolusioner berporoskan Nasakom"".","ngan memperkuat kegotongro-
jongan Nasional Revolustoner
berporoskan Nasakom""."
19,Bintang Timur,1963-03-03,1,"Masuknja ''peace corps"" AS mendapat tantangan (Usaha utk tingkatkan hidup Rakjat djuga mau didjegal)","Dunia pendidikan Indonesia harus diamankan kdan karenanja harus ditjegah adanja usaha2 perembesan pendidikan liberal jg samasekali bertentangan dengan Manipol, dan jang akan meratjuat tjalon2 intelegensia Indonesia, dan CGMI dalam komunikenja mengatakan ""...memprotes keras usaha untuk membitjarakan masalah ini"".","Dunia pendidikan. Indonesia
harus diamankan dan karenanja
barus ditjegah adanja usaha2 pe
rembesan pendidikan liberal jg.
samasekali bertentangan dengan
Manipol, dan jang akan mera-
Ijung tjalon2 Intelegensia Iador
nesia, dan CGMI dalam komu-
nikenja mengatakan :""...mem-
protes keras usaha untuk men-
bitjarakan masalah tni""."
20,Bintang Timur,1963-03-03,1,"Masuknja ''peace corps"" AS mendapat tantangan (Usaha utk tingkatkan hidup Rakjat djuga mau didjegal)",Tindakan AS jang akan mendjual bahan2 bakal jang dinamakan stockpile strategis adalah untuk melambankan atau djuga meruntuhkan usaha2 negara baru berkembang jang mendjadi produsen bahan2 ba,"Tindakan AS jang akan men-
djual bahan2 bakal jang dina-
makan stockpile strategis ada-
lah untuk melambankan atau
djuga meruntuhkan usaha? ne-
gara baru berkembang jang
mendjadi produsen bahan? ba-"
21,Bintang Timur,1963-03-03,1,"Masuknja ''peace corps"" AS mendapat tantangan (Usaha utk tingkatkan hidup Rakjat djuga mau didjegal)","kal tersebut, dan ini berarti pula sebagai satu usaha untuk mendjegal usaha Rakjat Indonesia untuk menjehatkan bidang ekonomi dan keuangan negara dalam rangka meningkatkan penghidupan Rakjat untuk mentjapai masarakat adil dan makmur.","kal tersebut, dan ini berarg
pula sebagai satu uhasa untuk
mendjegal usaha Rakjat Indo-
nesia untuk menjehatkan bidang
ckonomi dan keuangan negara
dalam rangka meningka'kaa
penghidupan 'Rakjat, untuk men-
tjapal masarakat adil dan mak-
mur."
22,Bintang Timur,1963-03-03,1,"Masuknja ''peace corps"" AS mendapat tantangan (Usaha utk tingkatkan hidup Rakjat djuga mau didjegal)","Demikian beberapa tjatatan minggu ini, jang perlu dikemukakan untuk lebih meningkatkan kewaspadaan Rakjat Indonesia disegala bidang terhadap bahaja jang mengantjam dari segala sudut, jaitu rangkaian usaha jang dilantjarkan kaum imperialis langsung atau lewat pion2nja dari dalam dan dari luar untuk menggagalkan Revolusi Indonesia, menudju suatu masarakat sosialis. ","Demikian beberapa #jati'an
minggu int. jang perlu dikemw
kakan untuk lebih meningkat
kan kewaspadaan Rakjat In-
donesia disegala bidang terha-
dap bahaja jang mengantjam
dari segala sudut, jaitu rang-
kaian usaha jang dilantjarkan
kaum imperialis langsung atau
lewat pion2nja dari dalam daa
dari luar untuk menggagalkan
Revolusi Indonesia, menudju
suatu masarakat sosialis."
23,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),"OLYMPIC GAMES TOKYO kian dekat diambang pintu. Setahun lagi. Apakah Olympic Games kali ini bisa berlangsung dan dengan sukses seperti jang diharapkan olahragawan negeri Sakura? Perasaan was was dan seperti pernah dirasakan Djepang takutnja terulang kegagalan jang karena petjhnja perang dunia hingga Olympic Games jang waktu itu akan berlangsung di Tokyo batal, kini kian mendalam disebabkan adanja kekatjauan dalam organisasi IOC akir2 ini. Lebih2 setelah Indonesia menarik diri dari IOC karena tindakan IOC jg banjak membela dan dikuasai blok Barat. Begitu pula blok Barat telah pula ikut mempengaruhi pembentukan satu regu Gabungan Korea ke Olympic Tokyo, hingga regu gabungan jang diharapkan pula olahragawan Republik Rakjat Demokrasi Korea sampai kini belum terlaksana. Ketakutan akan kekuatan para olahragawan Republik Rakjat Demokrasi Korealah jang telah menggagalkan tjita2 murni tsb. Fakta2 dibawah ini tjukup membuktikan betapa kuatnja regu olahragawan RRDK hingga pula ditakuti para official Korea Selatan.","OLYMPIG GAMES TOKYO
kian dekat. diambang pinta,
Setahun lagi. Apakah Olympk
Games kali ini bi berlangsung
dan dengan sukses seperti jang
diharapkan olahragawan pegeri
Sakura ? Perasaan was was dan
- seperti peraah dirasakan Djrpang
takutnja terulang kegagalan jang
karcoa petjahnja “perang dunia
hingga Olympic “Games jang
waktu Itu akan berlangsung di
Tokyo ba'al, kiai kiam mendalam
disebabkan adanja- kekatjauan
dalam ‘organisasi IOC akir2 iol.
Lebib2: setelahgiIndonesia mena.
rik diri dari 1OC karena tindakan
TOC jg banjak membela dan dikua
sai blok Barat. Begitu pula blok
Baratifelah pola turut menipenga
ruhi pembentukan satu regu Ga
bungan Korea ke Olympic Tokyo,
hinged rege gabungan jang di-
harapkam para olahragawan Re-
publik Rakjat Demokrasi Kerca
sampaj kini-belam | terlaksana.
Ketakutan akan kekuatan para
dlahragawan ‘Republik Rakjat
Demokrasi Korcalah jang telah
menggagalkan jital mumi ‘sb.
Fakta2 dibawah ini tjukup rem
boktikan” betapa kuatnja regu
olahragawan RRDK hingga pula
ditakuti para oficial Koren Sela-
tan. 2"
24,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),Madju oleh dorongan massa,Madju oleh dorongan massa
25,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA)," Perkembangan pendidikan djasmani di Korea Utara madju pesat hingga para atlitnja mampu mnetjiptakan rekor2 dunia adalah disebabkan dorongan dan sertanja massa luas dalam sport setjara aktif. Dipabrik2 para petani dan nelajan, apra peladjar semua dengan aktif","Perkombangan pendidikan djas
manj di Korea Utara madju pesat
hingga para allitnja - mampu
mentjiptakan rekor2 dunia ada.
lah disebabkan dorongan dan
Ikut sertanja massa Juas dalam
aport setjara aktif. Dipabrik?,

ra petani dan nelaian, para

jer semua dengan aktif"
26,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA)," membangun dan berlatih mempertinggi prestasi olahraga mereka. Semua itu disedjalankan dengan pembangunan masjarakat baru jang kuat. Tidaklah perlu diherankan kalau seorang tukang bubur keluar sebagai djuara Internasional atau seorang petani mendjadi pendidik dan teorikan olahraga terkemuka. Perhatian masjarakat terhadap pembangunan dunia olahraga di seluruh Korea Utara kian hari kian bertambah. Sedjak tahun 1949 hingga 1959 telah mendjadi 3,6 kali lipat banjaknja. Dan kemadjuan ini mendapat dukungan pemerintah sepenuhnja. Sedang ditahun 1961 sudah menandjak hingga 6,2 kali dari tahun 1956. Peningkatan ini tiap tahun menjebabkan dibangunnya tempat2 olahraga jang modern diseluruh Korea Utara. Begitu pula institut2 olahraga serta lembaga2 pendidikan olahraga lainnja terus berkembang dan banjak melahirkan master2 sport jg terkemuka di Korea. Dan setiap pemuda mempergunakan kesempatan mereka untuk madju dalam dunia olahraga dan dengan tekad jang penuh untuk mendjundjung nama Negara dan Bangsa. Lahirlah para djuara2 dunia seperti pwlari Shim Keum Dan dll.","membangun dan be mem-
prestasi me-
edie ite dinda
dengan pembangunan masjarakat
baru jang Kimt. Tidaklah perlu
diherankan Kilau seorang tu
kang bubut keluar sebagai djua-
ra Internasional atau seorang
petani mendjadi pendidik dan
teorikus olahraga terkemuka.
Perhatian masjarakat terhadap
pembangunan dunia olahraga di
seluruh Korea Utara kian hari
kian bertambah. Sedjak tahun
1949 hingga 1959 telah mendjali
3,6 kali lipat banjaknja. Dan ke-
madjuan ini mendapat dukungan
pemerintah sepenuhnja. Sedang
ditahun 1961 sudah menandjak
hingga 6,2 kali dari tahun 1956.
Peningkatan ini tiap tahun me.
njebabkan dibangunnja tempat2
olahragn jang: modern diseluruh
Korea Utara."" Begitu pula inii-
tut2 olahraga serta lembaga?
pendidikan olahraga iainnja terus
berkembang dan banjak melahir-
kan master? sport jg terkemuka
di Korea."" Dan setiap pemuda
mempergunakan kesempatan m3.
reka untuk madju dalam dunia
olahraga dan dengan tekad jang
penuh untuk mendjundjung
nama Negara dan Bangsa. [a-
hirlah para djuara2 dunia szperti
pelari. Shim Keum Den dil."
27,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),                                                                                                                                                            Dibuka dgn lembaran baru,"Dibuka dgn, lemburan baru"
28,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA), Semua kemadjuan2 para olahragawan Korea Utara dimulai sedjalan dengan dibukanja lembaran baru bagi Korea Utara jg membebaskan dirinja ditahun 1945. Sedjak saat pembebasan kemadjuan dunia olahraga Korea Utara madju dengan pesat dan beberapa rekor dunia sudah dipegang atlit Korea Utara. Dan saat2 akir2 ini olahragawan Korea Utara selalu mendapat sukses gemilang dalam setiap pertan,"Semua kemadjuan2 para olah-
ragawan Korea Utara "" dimulai
sedjalan dengan dibukanja lem.
baran baru bagi Korea Utacs js.
membebaskan dirinja ditalfun
1945, Sedjak saat pembebasan
kemadjuan-dunia'olahraga Korea
Utara madju dengan pesat dan
beberapa rekor dunia sudah d:-
pegang atlit Korea Utara. Dan
saat2 akir ini olahragawan Korea
Utara selalu mendapat sukses
gemilang -dalam setiap pertan-"
29,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),dingan Internasional. ,dingan Internasional.
30,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),"                                                                                      Tahun 1956 dalam kedjuaraan dunia Volleyball di Paris regu putri Korea Utara mengalahkan regu Amerika, salah satu regu terkuat didunia, djuga Turki, Belgia, Australia, dan regu2 Barat lainnja.","Tahun 1956 dalam kedjuaraan
dunia Volleyball di Paris regu
putri Korea Utara mengalahkan
regu Amerika, salah satu reyu
terkuat didanla, djuga Turki,
Belgia, AustraRa, dan regu? Ba.
rat lainnja."
31,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA), Tiga belas medali diborong penembak2 ulung Korea Utara ,"liga belas” medali diborong
penembak2 ulung Korea Utara
a"
32,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),"dalam pertandingan menembak ditahun 1958 dan unggul atas regu Amerika, Inggeris. Tahun2 akir2 ini jakni ditahun 1961 sukses olahragawan Korea Utara tambah mengantjam olahragawan dunia lainnja. Terbukti dengan kemenangan mereka dalam setiap pertandingan mereka dalam setiap pertandingan Internasional, 12 hasil gemiang ditja","dalam pertandingan. menembak
ditahun i958 dan unggul
atas regu Amerika, . Inygoris.
Tahun akir2 ini. jakni ditahun
1961 sukses olahragawan Korea
Utara bah mengantjam olah-
tagawag dunis laianja Terbukti

dengan kemenangan mercka da-

lam setiap ngan o Inter,
national. 12 hasil gem'lang ditja-"
33,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),"pai olahragawan Korea Utara antaranja kemenangan aras regu basker putri RDD, dari regu tindju Tjekoslowakia, dan kemenangan kes. Korea Utara atas kes. terkuat Uni Soviet.","pai olahragawan Korea Utara
antaranja kemenangan atas regu
'basket putri RDID, dari regu tin-
dju Tjekoslawakia, dan keme.
nangan kes. Korea Utara atas
kes. terkuar Umi Sovjet."
34,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),"                                                                                                                                                                                                Atlit putri Shien Keum Dan di Moskow tahun jl. telah memetjahkan rekor dunia lari 400 m dan 800 m dengan waktu 53 dt, dan 2 m 1,4 dt.","Atlit putri Shim Keum Dan di
Moskow tahun fl. telah mems-
tjahkan rekor dunia lari 400 m
dan 800 m dengan waktu 53 dt.
dan 2 m 1,4 dt. eS"
35,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA)," Seterusnja delapan olahragawan Korea Utara telah memetjahkan rekor2 dunia dalam berbagai tjabang olahraga di 15 pertanding, Rekor National tiap tahun dipetjahkan Dan tahun 1962 133 olahragawan telah memetjahkan rekor nasional dalam 278 pertandingan. 171 olahragawan melangkahi standar Master of Sport RRDK dalam 234 pertandingan.","Seterusnja delapan olahraga-
wan Korea Utara tolah meme.
tjahkan rekor2 dunia dalam ber-
bagai tjaba ae di 15 per-
tandingan, Heke ational Uap
tahun terus dipetjahkan Daa
tahun 1962 .133 olauragawan
telah momotjahkan “rekor nasio.
nal dalam 278 pertandingan. 17!
olahragawan melangkahi standar
Master of Sport RRDK dalam
234 pertandingan"
36,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA)," Djuara marathon Ryu Man Hyung tahun ini djuga telah menggemparkan dunia dengan waktunja jang tadjam 2 djam 16 menit 09,6 dt. dalam suatu pertandingan Nasional bulan October jl. Begitu pula pembalap speda putri Yoon Bo Yun mentjiptakan rekor baru dengan 1 djam 57 menit 22,4 dt.                                                                                                                                                                                                                                                                                                                                                                              ","Djuare marahtoo Ryu Man
Hyung tahun ini djuga telah
menggemparkan dunia dengan
waktunja jang tadjam 2 djam
16 menit 09,6 dt. dalam sua'u
pertandingan Nesional. balan
October ji. Begitu pula pembalap
speda puwi Yoon Bo Yun men-
tjiptakan rekor baru dengan
1 djam 57 menit 22,4 dt."
37,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),"Kes Pyong Pyang ditunggu 13/3. PADA tgl 13 Maret jad. akan tiba di Djakarta kesebelasan Korea Utara, Pyongyang Football Team untuk memainkan be","Kes. Pyong Pyang
ditunggu 13/3
PADA tek 13 Maret jad. akan
tiba di Djakarta keschelssan

Korea Utara, Pyongyang Foot-
bali Team unfok memainkan be."
39,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),"3 tahun terakir ini al dapat ditjatat sbb: melawan kes. Tjekoslowakia ""Red Star"" (3-2) dalam tahun 1959, Tashkent ""Drud Rezet"" (0-0), Tahun 1961: Moskow ""Spartak"" ditundukkan 2-1 dan dalam tahun 1962, kes. Pyongyang telah pula menggulingkan ""China Football Team"" dengan score 1-0. ","mai
3 tabun terakir ini al. dapat di-
tjatat sbb: melawan kes. Tjeko-
slowakta ""Red Star” (3-2) dakun
tahun 1959, Tashkent “Drod
Rezet’ (0—0), Dalam tahun
1960: metawan USSR Liga
""Dahugaja” (1—0). Tahua 1961:
Moskow ""Spartak” ditundukkas
2—1 dan dalam tahun 1962, kas.
Pyongyang telah pula menggu-
fingkan ""China Football Team”
dengan score 1—98,"
40,Bintang Timur,1963-03-03,1,Korea Utara membangun masarakat baru jg kuat (BURUH PETANI-NELAJAN & PELADJAR TURUT DLM USAHA2 MEMPERTINGGI PRESTASI OLAHRAGA),"                                                                                                                                                                          Dan dapat pula ditambahkan, bahwa kes. Pyongyang itu dipimpin oleh An Chang Guen (Anggota Komite Olympiade Republik Demokrasi Rakjat Korea) dan coach dari kesebelasan tsb Dok Hoang Zin, adalah pula Ketua bagian sepakbola dari Komite Olahraga dibantu pula oleh coach Chuai Lyeng Seb.","Dan dapat pula ditambahkao,
bahwa kes, Pyongyang itu dipim-
pin oleh An Chang Guca (Ang.
gota Komite Olympiade Repu-
blik Demokrasi Rakjat Korea)
dan coach: dari kesebelasan tsb.
Dok Hoang Zin, adatah pula Ke-
tua bagian sepakbola duri Ko.
mite Olahraga dibantu pula oleh
coach Cimi Lyeng Seb"
42,Bintang Timur,1963-03-03,1,Petani lebih pandjang umur,dan karena mereka harus sehat dan kuat untuk bekerdja sebagai petani. Rata2 orang desa hidup dua setengah tahun lebih pandjang daripada orang kota.,"dan karena harus sehat
dan kuat untuk bekerdia » rag
pelari. Rata"" orang desa hidup kt
red dua ssi h tahun lebih pan
ence dois eomnahole"
43,Bintang Timur,1963-03-03,1,Petani lebih pandjang umur,"                                                                                                                                                        The National Officer of Vital Statistics"" di AS melaporkan bahwa wanita2 jang telah kawin menundjukkan suatu penurunan jang menjolok dalam angka kematian. Orang laki2 jang sudah beristri djuga menundjukkan angka kematian jang lebih rendah dari pada mereka jang masih budjangan. Djelasnja bahwa orang2 budjangan lebih pendek umurnja.","„The National Offioer of Vitel
Statistics” di AS .
bahwa wanita! jang telah kautn
menundtukkan suatu penurunan
jang menjolok dalam angka kema
Han. Orang lakt"" jang sudah ber
leet dfuga memundjukkan angka
kematian jang lebih rendah dari
pada mervka masih, budjang
an. Djelamja bahwa orang” bur
djangan lebih pendek tee

ntara)."
44,Bintang Timur,1963-03-03,1,PESAWAT2 DJET DAN ROKET2 AS UNTUK PILIPINA,"Presiden Dicedado Macapegal menerangkan hari Rabu, bahwa Filipina tidak lama lagi akan memperoleh pesawat2 terbang perang jang modern dan roket2 dari Amerika Serikat. Pesawat terbang dan roket djenis apa, tidak dijelasnkannja.","Prsiden Dicedado Macapegal
menerangkan hari Rabu, nahwa
Filipina ‚tidak lama lagi akan
memperoleh pesawat"" terbang
perang jang modern dan zoket""
dari Amerika Serikat. Pesawat
terbang dan roket djenis apa,
tidak didjelaskannja."
45,Bintang Timur,1963-03-03,1,PESAWAT2 DJET DAN ROKET2 AS UNTUK PILIPINA," Tetapi menteri pertahanan Macario Peralta sebelumnja telah mengumumkan, bahwa Filipina segera akan memperoleh pesawat2 pantjargas ""Freedom Fighter"" dari AS. Pesawat2 ini dapat menembakkan roket2 dan konon katanja.","Tetapi menteris pertahanan
Macario Peralta sebelumnja telah
mengumumkan, bahwa Filipina
segera akan memperoleh pesawat""
pantjargas ""Freedom Fignter” da
ri AS. Pesawat? ini dapat menem
bakkan roket? dan kanon, kata
nia."
