newspaper,publishing_date,page,article_title,content,notes_id,notes_en
Kedaulatan Rakjat,1952-05-16,3,Blok Asia-Afrika tetap hendaki soal Tunisia dalam PBB,"Wakil Pakistan pada PBB, Ahmad Bukhari, hari Selasa jl, mengatakan bahwa negara2 Blok Asia Afrika dalam PBB tetap berusaha agar supaja diadakan sidang istimewa dari Sidang Umum PBB, guna membitjarakan soal Tunisia.

Hari Selasa jl, Blok Asia — Afrika telah bersidang lagi. Bukhari menjatakan bahwa negara2 Asia dan Mesir gelisah sesudah mendengar berita2 tentang keadaan di Tunisia. Tampaknja tidak mungkin dilakukan perundingan dengan wakil2 negeri tadi jang sesungguhnja.

Seterusnja ia menerangkan bahwa Blok Asia Afrika bermaksud melakukan pembitjaraan dengan anggota2 PBB lainnja, guna memperbintjangkan soal Tunisia. Didapat keterangan, bahwa delegasi2 Amerika Latin — jang 12 hari diadjak beranding oleh Blok Asia — Afrika — hingga kini belum lagi mendapat instruksi dari pemerintah mereka masing2, tentang sikap mereka terhadap diadakannja sidang istimewa dari Sidang Umum PBB.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F820)"
Soera Oemoem,1946-12-14,1,Ada apa di Korea,"Ada apa di Korea
Seul, 13 Des,:
LEBIH dari sepertiga dari 90 anggota perentjana oendang2 di Korea Selatan pada sidang jg. pertama tidak hadir. Karena hanja 56 anggota jang hadir dalam sidang itoe dan jang selebihnja (kaoem opposisi) merasa tidak penting dengan sidang tsb., maka kaoem demokrat mengoesoelkan soepaja diadakan sekali lagi pemilihan anggota perentjana oendang2 itoe dibeberapa distrik.
Walaupoen demikian Letnan Djenderal John Hodge, komandan tentera pendoedoekan Amerika memboeka sidang itoe dan menjatakan, bahwa segala kedjadian itoe akan diperhatikan. Djoega dalam sidang itoe didjelaskan, bahwa 45 anggota dipilih oleh pendoedoek, sedangkan jang selebihnja ditoendjoek oleh pemerintah Balatentera Amerika dengan bantoean partai2 ditempat tsb. Perloe diterangkan bahwa sebelah Selatan Korea didoedoeki oleh tentera Amerika dan disebelah Oetaranja oleh tentera Roesia.
",,"=AI(""Please translate to english, do not translate inside doble quotes"",F821)"
Soera Oemoem,1947-01-03,1,"Menjongsong tahoen baroe
PELOEROE MERIAM DIOBRAL.","Menjongsong tahoen baroe
PELOEROE MERIAM DIOBRAL.
PADA tg. 31 Des. jl. djam 16.00 satoe djam lamanja seboeah pesawat pemboeroe moesoeh mengadakan pengintaian dimedan barat. Kemoedian beberapa pertahanan rakjat ditembaki dengan sendjata berat. Waktoe itoe djoega serangan moesoeh ditoedjoekan dibagian tengah dari medan barat dengan mempergoenakan beberapa tank dan truck penoeh dengan serdadoe. Dalam menghadapi serangan ini pasoekan rakjat pindah ketempat pertahanan lain. Dari perlawanan ditempat itoe achirnja barisan rakjat dapat memoekoel moendoer moesoeh dan tetap mengoeasai kedoedoekan jang semoela. Dari itoe djoega medan tenggara moelai djam 17.45 dihoedjani peloeroe meriam 70 kali dari Bongtjino, Kabloek dan Singantoro. Pada waktoe itoe seboeah pesawat terbang moesoeh melemparkan beberapa granat tangan ke kampoeng2 pendoedoek bagian barat medan tenggara. Medan timoer sepi.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F822)"
Kedaulatan Rakjat,1951-04-20,1,Tentara Iran bubarkan demontrasi di Abadan dgn tank2,"Didapat kabar dari Abadan, bahwa tentara Iran telah membubarkan suatu demonstrasi disana dgn tank2, hingga beberapa demonstran mendapat luka2 oleh karenanja.
Tiga orang pekerdja jang mendapat luka2 ketika pembubaran demonstrasi dengan tank tadi, telah meninggal dirumah sakit.
Maskapai minjak Inggeris-Iran mengumumkan, bahwa antjaman2 dari pihak pemogok di Abadan telah bertambah dan penghasut2 terus-menerus mengantjam pekerdja jang menghentikan pemogokannja dengan kekerasan.
Seterusnja dikabarkan bahwa pasukan2 dan tank2 selalu membubarkan rapat2 umum disana.
Harian Bakhtar Emrouz"" mengabarkan, bahwa antara pemerintah2 Inggeris dan Iran telah diadakan tukar-menukar nota, dalam mana Inggeris mempertanggung djawabkan Iran untuk pemogokan2 didaerah minjak, sedangkan Iran melemparkan kesalahan tentang pemogokan2 dan akibat2nja tadi kepada maskapai minjak Inggeris-Iran. Ant. U.P.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F823)"
Kedaulatan Rakjat,1952-08-15,3,Beras dari Formosa untuk Indonesia,"Dari Taipeh (Formosa) akan dimasukkan 20.000 ton beras untuk Indonesia, Kapal Tiongkok Nasionalis jang pertama jg akan mengangkut 6000 ton dari 20.000 ton itu telah tiba kemarin dulu dipelabuhan Tg. Perak.

Selebihnja 14.000 ton akan diangkut oleh 2 kapal Tiongkok Nasionalis jang lain dan menurut ,,Keng Po"" jang 14.000 ton itu akan diturunkan di Surabaja.

Atas pertanjaan, bagaimana pendapat Menteri Penerangan tentang pembelian beras dari Taipeh tersebut, jang diangkut dengan kapal Tiongkok Nasionalis didjawab, pembelian itu sangat bersifat partikulir, jaitu dilakukan oleh Kian Gwan Concern.

Beras itu oleh kongsi tersebut dilever kepada Pemerintah Dgn lain perkataan, pembelian beras dari Taipeh itu tidak mempunjai arti politik apapun djuga.

Dalam pada itu, dengan beras tersebut sebagian dari kebutuhan rakjat Indonesia dapat dipenuhi. Demikian Menteri Penerangan. Ant.
",,"=AI(""Please translate to english, do not translate inside doble quotes"",F824)"
Soera Oemoem,1946-12-25,1,BANGSA ANNAM MEMBALAS.,"BANGSA ANNAM MEMBALAS.
BANGSA Annam (Viet Nam) kemarin dengan semangat baroe mengadakan serangan lagi diseloeroeh Indo-China Oetara. Tentera Perantjis hingga berita ini dikirim masih dapat mempertahankan kedoedoekannja.
Demikianlah menoeroet pekabaran kantor berita Perantjis dari Hanoi. Pertempoeran jang terhebat terdjadi 45 mil di Selatan Hanoi. Kabarnja tentera Perantjis hanja menderita korban 50 orang tewas dan 150 orang loeka2. Selain itoe beberapa orang Perantjis preman dan Peranakan Perantjis mati atau hilang. Sebagian detasemen Perantjis menjerah. Disoeatoe tempat seboeah detasemen penghoeboeng Perantjis menjerah kepada pasoekan Viet Nam, kabarnja soepaja 200 pendoedoek bangsa Perantjis djangan sampai diboenoeh.
Di Hue bangsa Perantjis berkoempoel digedoeng ""clemendeau"", jang sebagian besar soedah hantjoer. Djoega dikota ini pasoekan2 Viet Nam moelai mengadakan infiltrasi.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F825)"
Kedaulatan Rakjat,1954 - 08 -10,2,PEMERINTAH KABUPATEN MEMPERHATIKAN GYA NGENGRONG,"Rombongan Pemerintah kabupaten Gunungkidul dengan dipimpin oleh bupati P.P. Brataningrat baru2 ini telah menindjau gua Ngengrong jang terletak disebelah Selatan desa Mula djarak 7 km dari kota Wonosari. Tempat tsb dulu dipergugunakan untuk sarang kera (kete) jang ada disebelah Selatan Gunungsewu. Kini sudah djarang sekali dipergunakannja. Di Ngengrong terdapat danau didalam gunung, dan disebelahnja terdapat gua lagi, jang merupakan djalan untuk keluar dengan tidak usah melalui djalan pada waktu masuk. Disini terdapat pula sungai jang mengalir sampai dibawah tanah. jang menurut keterangan penduduk disekitarnja, sungai itu bermuara dipantai laut daerah Rongkop. Penindjauan itu bermaksud selain agar gua Ngengrong dikenal oleh kaum pelantjongan (touristen dari luar), djuga kalau dapat danau tersebut akan dipergunakan untuk  kepentingan pembuatan waduk Mentel jang kini sedang dikerdjakan.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F826)"
Soera Oemoem,1947-01-08,1,MOENGKIN ADA PERLETAKAN SENDJATA,"MOENGKIN ADA PERLETAKAN SENDJATA
MENOEROET djadjahan Perantjis, Marius Moutet, dalam konperensi pers menjatakan bahwa ia berpengharapan besar tentang adanja ""hentikan tembak-menembak"" dan keadaan sekarang hanja dapat dilihat dari djoeroesan militer sadja. Moutet jang dalam 2 hari akan kembali dari Perantjs, menjatakan tidak beroebahnja sikap pemerintah terhadap Ho Chi Min dan berhoeboeng dengan disetoedjoeinja perletakan sendjata antara tentara Viet Nam dan Perantjis ia berkata: ""Saja beloem tahoe bagaimana tjaranja kita beroending tentang gentjatan perang ini, dan perdjandjian apa jang akan disetoedjoei sesoedahnja dihentikan semoea permoesoehan?""
Ketika ada pertanjaan moengkinkah pemerintah Perantjis akan menerima rentjana persetoedjoean Ho Chi Min, ia mendjawab: ""Saja akan mengirimkan laporan tentang apa jang saja telah lihat dan dengar, nanti pemerintah akan memoetoeskan soal itoe"".",,"=AI(""Please translate to english, do not translate inside doble quotes"",F827)"
Kedaulatan Rakjat,1952-08-15,3,Tak benar RRT bantu Ho,"Djurubitjara Staf Umum Tentara Perantjis di Saigon pada hari Rebo memperkuat keterangan jang diutjapkan oleh djenderal Raoul Salan, penglima tertinggi pasukan2 Perantjis di Indo China, bahwa hingga kini tidak ada suatu bukti tentang adanja serdadu2 RRT jang bertempur bahu-membahu dengan pasukan2 Ho Chi Minh di Indo China.

Djurubitjara tadi memberi keterangan itu ketika ia ditanja mengenai statement pembantu menteri luar negeri Amerika untuk masalah2 Timur Djauh, John Allison, baru2 ini, jang mengatakan bahwa lebih dari 10.000 serdadu Tionghoa kinı bekerdja bersama dengan pasukan2 Ho Chi Minh. Dikatakan oleh djurubitjara tsb. bahwa tidak ada sesuatu hal baru telah terdjadi semedjak djenderal Raoul Salan pada tanggal 27 Djuli jl. menjatakan, bahwa tidak pernah ada seorang serdadu Tionghoa ditawan atau kedapatan tewas atau luka2 sesudah gerakan2 pasukan2 Perantjis di Indo China."" Ant. AFP",,"=AI(""Please translate to english, do not translate inside doble quotes"",F828)"
Duta Masjarakat,1965-03-08,2,PT. USRSP Dan PT. Good Year Sumatera Plantation Tidak Djudjur Hak Konsesi Tidak Mereka Gunakan Semestinja,"Pembantu Menteri Perkebunan, Ir. Sogpardan Soerjohandojo dalam wawantjara dengan Antara menerangkan, banwa pengusaha2 peruhasaan2 perkebunan PT. USRSP (United States Rubber Sumatra Plantation) dan PT. Good Year Sumatra Plantation ternjata tidak djudjur dalam mengusahakan kedua perkebunananja itu. Berdasarkan perdjandjian dalam konsesi mereka harus tetap menambah kapital (Investasi) tetapi ini tidak mereka lakukan, sehingga akibatnja produksl mendjadi menurun. Ketidak maunja pengusaha2 imperialis itu melakukan investasi lagi menurut Ir. Soepardan, ialah karena masa konsesinja hanja tinggal 10 tahun lagi. Padahal, demikian Ir. Soepardan, semestinja hak konsesi jang telah mereka peroleh mereka kembalikan dalam keadaan baik dan memuaskan, Tapi apa jang terlihat sekarang, ialah mereka berbuat jang sebaliknja, Inilah sebabnja maka kaum buruh terpaksa mengambil alihnja tulis wartawan Antara Medan",,"=AI(""Please translate to english, do not translate inside doble quotes"",F829)"
Indonesia Merdeka,1960-03-20,1,Radja Ibnu Saud dan Pres Gamal Abdel Nasser MASING2 BULAN AGUSTUS DAN SEPTEMBER JAD AKAN ADAKAN KUNDJUNGAN KENEGARAAN KE INDONESIA SEBAGAI TAMU NEGARA,"Jogjakarta 19/3 PIA. - Dalam kundjungannja ke Jogjakarta Survey Team Panitia Negara Pusat penerimaan Kepala2 Negara2 Asing telah memberitahukan kepada Panitia setempat di Jogjakarta baru2 ini bahwa Radja Ibnu Saud dari Arab Saudi pada bulan Agustus tahun ini, dan Presiden RPA Gamal Abdel Naser pada bulan September, jad. menurut rentjana akan mengadakan kundjungan kenegaraan ke Indonesia sebagai Tamu Negara.                                                                                                                                      Dikatakan bahwa selain itu djuga akan datang tamu Negara dari Amerika Latin dan djuga dari Turki. Rombongan survey Team jang datang ke Jogjakarta diketuai oleh Komodor Aburachmant dan berdjumlah 18 org. Dari Jogjakarta mereka kemudian melandjutkan perdjalanannja ke Bandung, demikian keterangan dari Panitia Penerimaan Tamu2 Kepala Negara2 Asing di Jogjakarta. ",,"=AI(""Please translate to english, do not translate inside doble quotes"",F830)"
Duta Masjarakat,1965-03-08,2,Mahasiswa2 Universitas Malaja Sambut Duke of Edinburgh dengan Poster2 Anti Inggeris,"Poster2 anti Inggeris sekonjong2 bermuntjulan di Universitas Malaja hari Sabtu tepat beberapa menit sebelum Duke of Edinburgh sampai ditempa: itu dalam rangka kundjungannja keberbagai fakultas pada universitas tsb
AFP kabarkan bahwa aksi poster anti-Inggeris tsb dilantjarkan oleh mahasiswa Universitas Malaja jang suka kepada imperialis Inggeris
Salah satu diantara pemimpin mahasiswa pada universitas tsb bersama Zaidon Mohammed, seorang mahasiswa dari djurusan seni rupa sempat di tangkap polisį ketika ia sedang memantjangkan satu poster besar anti-Inggeris dimuka pintu Universitas tsb. Diantara poster itu terbatja slogan ""Enjahlah Imperialisme Inggeris"".
Menuru AFP kerdjaan poster tsb dilantjarkan oleh elemen ""kiri"" jang terdapat pada persatuan mahasiswa Universitas Malaja,
Dikabarkan bahwa Duke jg tidak disukai para mahasawa Malaja itu hari Minggu ini akan meneruskan perdjalanannja ke Bangkok.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F831)"
Bintang Timur ,1963-04-18,1,Aga Mereda,"C.V. Narasimhan, kepala kabinet Sekdjen PBB, berpendapat bahwa ketegangan di Asia Tenggara telah tjukup banjak mereda mengenai rentjana Malaysia, jg ditentang oleh Indonesia dan Pilipina.
Narasimhan, jang tiba di Kuala Lumpur dengan pesawat terbang Senin petang dalam rangka suatu „Fact-finding mission selama 2 minggu terhadap masalah sekitar Malaysia, menerangkan kepada pers dilapangan terbang. bahwa rangkaian pembitjaraan dewasa ini antara Malaya, Indonesia dan Pilipina serta konperensi tingkat menlu tri negara jad, rupanja telah memberikan sumbangan kepada perkembangan jg menggembirakan tersebut.
Sebanjak 240 orang, kadet AURI telah berangkat ke Indla dengan menumpang pesawat terbang Hercules pada hari Selasa dari lapangan terbang Adisutjipto, Jogjakarta.
Romongan kadet Ini baru sadja menjelesaikan latihannja selama 6 bulan pada sekali Latihan Dasar di Panasan (Saja) sebelum berangkat ke India",,"=AI(""Please translate to english, do not translate inside doble quotes"",F832)"
Kedaulatan Rakjat,1952-05-16,3,Pembesar2 Amerika peringatkan Sovjet,"Pembesar2 Amerika Serikat hari Rebo jl. memperingatkan Sovjet Uni, bahwa negara tadi melakukan tindakan jang berbahaja, karena telah menjerukan hasutan2 agar supaja timbulkan kerusuhan2 jang ditudjukan terhadap pemerintah Djerman Barat.

Kata pembesar2 tadi, djika ditilik dari pertuatan Sovjet tadi dan dilakukannja tindakan2 Sovjet kearah blokade lagi terhadap Berlin Barat, maka ,,Kremlin tampaknja sanggup menghadapi bahaja perang, agar supaja Djerman Parat djangan sampai menandatangani pakt pertahanan dengan negara Pakt Atlantik”.

Radio Moskow dalam minggu ini pernah menjiarkan bahwa sedjak achir perang dunia II belum pernah masalah Pjerman sehangat sekarang ini. Dikatakan bahwa politik negara2 Barat menimbulkan situasi, jang menghendaki supaja diselesaikan dengan tjara bagaimanapun djuga atau perdamaian tetap terpelihara di Eropa atau benih2 peperangan akan mendjadi aktif di Djerman Barat. 
",,"=AI(""Please translate to english, do not translate inside doble quotes"",F833)"
Indonesia Merdeka,1960-01-22,1,SUMBANGAN DAN PENGHARGAAN TERHADAP ORKES2 DAERAH,"B'masin 21/1
Pagi hari Selasa ini bertempat dikamar kerdja Kepala Daerah Kotapra dja B'masin dalam suatu pertemuan ramah-tamah jg djuga dihadiri oleh anggota DPD Ekonomi dan Sos/PPK, Burhan Afhanie Kepala Daerah telah memberikan dan menjampai-kan penghargaan sebesar2 nja kepada Orkes2 daerah jg telah menggali dan mengembangkan lagu2 daerah untuk memperkaja perbendaharaan dan lagu2 Nasional. Berkata selan djutnja Kepala Daerah, se suai dgn kembali kepada keperibadian kita sendiri, maka sudah sewadjarnja kepada organisasi2 kesenian jg madju diberikan sumbangan dan penghargaan dan kepada Orkes jg diberikan sumbangan supaja menggunakan keuangan itu sebaik2nja dgn harapan semoga berkat sumbangan itu orkes2 daerah akan lebih madju lagi.

Perlu diketahui sumbangan uang jg diberikan adalah:

1. Untuk Orkes Irama Samudera Rp.2.500,-

2. Untuk Orkes Din-dang Ligun Rp.2.500,

3. Untuk Orkes Kuti-lang Rp.1.000..",,"=AI(""Please translate to english, do not translate inside doble quotes"",F834)"
Soera Oemoem,1947-01-06,1,Reaksi pidato prof. Gerbrandy,"Reaksi pidato prof. Gerbrandy
BERHOEBOENG dengan pidato prof. Gerbrandy, pemerintah Belanda menerangkan, bahwa ia berhak oentoek mengoetjapkan pendapatnja tentang oeroesan pemerintahan, demikian A. N.P. mengabarkan,
Pemerintah memprotes, penjerangan prof. tadi terhadap van Mook.
Kalau prof. Gerbrandy sebeloem  pidato bl. Desember tahoe, apa  pendapatnja tentang v. Mook sekarang, pemerintah tidak mengerti, mengapa selama pemerintahan Gerbrandy dr. van Mook diangkat sebagai menteri djadjahan, dan  luitenan goebernoer djenderal, dan pada bl. Oktober 1944 sampai menteri djadjahan merangkap luitenan goebernoer djenderal, dimana ia mendapat kekoeasaan sepenoeh-penoehnja, dan menoeroet prof. Gerbrandy, ini adalah pelanggaran oendang2 dasar.
Selandjoetnja pemerintah Belanda menerangkan, bahwa ia tidak akan merobah sikapnja dan ia merasa, tidak pernah melanggar atau menghalangi isi pidato pada 7 Desember 1942.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F835)"
Soera Oemoem,1947-01-23,2,Tentang Indo-China,"Tentang Indo-China
Berhoeboeng dengan pengiriman tentara Perantjis sebanjak 80.000 orang ke Indo-Tjina, toean Chang menerangkan, bahwa mereka itoe boekanlah terdiri dari tentara Perantjis jang progressif, tapi adalah tentara reaksioner jang datang dari Afrika Selatan. Sebab, oedara pemberontakan di Perantjis sendiri kini sedang panas, jaitoe sebagai akibat kebangkitan kaoem komoenis. Selandjoetnja Chang memoedji kantoean tentara soekarela Burma pada Indo-Tjina dan menegaskan, bahwa tindakan seperti itoelah jang haroes kita ikoeti.
Tentang wakil Partai Komoenis Malaya jang mestinja soedah berangkat ke London pada pertengahan boelan Desember jang laloe, Chang menerangkan, bahwa oentoek mendapat pasport boeat wakil Melajoe sedikit terlambat, karena Pemerintah berkehendak djaminan seorang Meester. Tiga orang wakil partai itoe kini soedah siap dan akan berangkat pada tg. 27 atau 29 Djanoeari mendatang ini.
",,"=AI(""Please translate to english, do not translate inside doble quotes"",F836)"
Soera Oemoem,1946-12-25,1,"KANTOR2 PENTING DIREBOET BELANDA.
Pegawai2nja diharoeskan bekerdja teroes.","KANTOR2 PENTING DIREBOET BELANDA.
Pegawai2nja diharoeskan bekerdja teroes.
Bogor, 24 Des. (Antara): 
DOEA orang Belanda, masing bernama Baasbecking dan Hildebrand pada tg. 23 Des. datang dikantor Balai Penjelidikan Kehoetanan Bogor dan dihadapan pengawai Kantor tsb. dinjatakan, bahwa moelai dari tg. 24 Des Balai Penjelidikan Kehoetanan akan didoedoeki dan diambil oleh militer Belanda. Para pegawai diminta soepaja teroes bekerdja dibawah pimpinan orang2 Belanda, selain itoe didjandjikan perbaikan gadji serta pembagian roti setiap hari dan barang2 kalengan lainnja.
Selandjoetnja pada hari ini tg. 24/12 beberapa kantor2 penting di Bogor, antaranja Keboen Pertjobaan Mosara, didatangi oleh orang2 Belanda bekas pegawai kantor2 tsb. dahoeloe, dan bermaksoed mengambil kantor2 itoe dari tangan Indonesia.
Berhoeboeng dengan kedjadian2 tsb. fihak Indonesia mengambil poetoesan oentoek mengirim oetoesan ke Djakarta.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F837)"
Kedaulatan Rakjat,1952-08-15,1,Pengalaman2 Dlm Kamp Tawanan Vietminh,"16 Orang opsi2 serta serdadu2 Perantjis dan Vietnam jang telah dibebaskan pada hari Selasa jl dari kamp, tawanan dekat perbatasan RRT pada hari Rabu telah mentjeritakan pengalamannja dalam kamp sebagai berikut:
Kamp dimana mereka ditempatkan setiap 3 bulan sekali dipindahkan dari desa kedesa dan para tawanan hidup bersama2 dengan penduduk. Setiap pagi mereka harus mengambil kaju serta air untuk kamp. Sore hari dipergunakan untuk mengundjungi pertemuan peladjaran politik. Kadang2 dibagi2kan bullettih berita jang dbiuatnja dari berita2 Tass dan NCNA. Pos datang sekali dlm tiap 3 bulan.
Demikian para tawanan jang dibebaskan itu meatjeritakan.
Selandjutnja dikabarkan, bahwa markas pesar Perantjis tlh menjangkal statement jang di keluarkan oleh ahli Timur Djauh Amerika Serikat, John Allison, jang mengatakan, bahwa se djumlah 10.000 orang pasukan sukarela Tionghoa telah membantu pasukan2 Vietminh. Ant.
UP.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F838)"
Kedaulatan Rakjat,1951-08-06,1,Ummat Islam Jogjakarta dan Duta Besar Pakistan,"Berhubung dengan perkundjungan Duta Besar Pakistan ke Jogjakarta tgl. 7 Agustus ini, maka telah diadakan rapat pembentukan Panitya Penjambutan oleh gerakan2 Islam di Jogjakarta diselenggarakan oleh FPII Jogjakarta jang dihadiri pula B. Rangkuti dari Kedutaan Besar Pakistan Djakarta dan A. Gaffar Ismail dari BKMI Djakarta. Susunan Panitia diketuai oleh Mohammad Mawardi (Muhammadijah, Wakil Ketua I H. Wazir Nuri (Masjumi Wilajah), Wk. Ketua II Achid Masduki (GPII Wilajah), dan Sekretaris I A. Halim M.A. Tunsikal (PB.PII) Sedang Prof. H.A. Kahar Muzakkir dan R. Wiwoho djadi penasehat2 nja.
Dalam rentjana kundjungannja ke Jogjakarta Duta Besar Pakistan akan mengadakan pertemuan2 dgn. peladjar mahasiswa tgl. 9 sore di gedung Negara, dengan pemimpin2 partai organisasi dan para terkemuka Islam dan alim ulama tgl. 10 pagi di Pangulon Mesdjid Agung. Rapat umum diadakan di Mesdjid Agung sebelum shalat Djum'at itu.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F839)"
Kedaulatan Rakjat,1951-04-20,1,Usul Korea Utara Ditjurigai,"PANITIA Djasa2 Baik dari PBB telah mengambil keputusan utk. sementara tidak akan mengambil tindakan berhubung adanja tawaran dari Korea Utara, demikian kalangan diplomatik tinggi menjatakan kepada wartawan U.P.
Kalangan2 jang mengetahui menjatakan bhw panitia tsb telah mengadakan sidang rahasia dan telah mentjapal persetüdjuan bahwa waktu ini tidak bidjaksana untuk memberi djawaban seruan Korea Utara.
Dari kalangan jang mengetahui benar dapat diketahui bahwa ketua sidang umum. PBB Nasrullah Entezam jang djuga djadi ketua Panitia Djasa2 Baik dan jang kepadanja tawaran Korea Utara itu dialamatkan, tidak punja rentjana untuk mengambil tindakan mengenai soal tsb, Sebab-sebabnja kalangan2, PBB tidak mau mengambil tindakan sekarang ini, karena takut kalau2 tawaran itu akan dapat dipergunakan oleh Korea Utara rebagai propaganda untuk melanjutkan perlawanannja terhadap PBB. Demikian Ant. U.P. dari Lake Success,",,"=AI(""Please translate to english, do not translate inside doble quotes"",F840)"
Duta Masjarakat,1965-03-08,1,Pudjian Mengalir Untuk Amanat Presiden,"Sesaat sesudah sidang pembukan KIAA selesai mendengarkan amant presiden Sukarno, Wartawan DM meminta kesan2 para delegasi mengenai amant tsb, jg ditutup dengan harapan agar semua delegasi mengusahakan agar ditiap2 negara dasar ke-Tuhanan Jang Maha Esa didjadikan dasar negara, sebagaimana dpunjai Indonesia dengan Pantjasilaja. Anggauta Delegasi RRT, Hasan, mengatakan bahwa amant presiden Sukarno adalah bagus sekali. Delegasi Liberia Vamumyah Sherif, dengan semangat dan mejakinkan memudji2 amant presiden Sukarno dan sangat setujdu sepenuhnja. Wartawan tanjug, dengan spontan memberi komentar bahwa amanat presiden Sukarno itu merupakan amanat jang sangat penting diantara amanat2 beliau lainnja. Delegasi Sri Langka sesaat sesudah presiden Sukarno menachiri amanatnja, segera berdiri dan memberikan tepuk tangan bersemangat dan teriakan jang tidak dapat ditangkap oleh teinga wartawan DM, Begitu djuga delegasi Togo.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F841)"
Indonesia Merdeka,1960-01-08,1,Katanja dimulai di Kairo,"Kopenhagen, 7-1 PIA-AFP - Surat kabar Konservatif Denmark menuduh bahwa gelombang anti Semit jg sekarang ini tidak dimulai di Djerman Barat tetapi di Kairo.                                                                                                                                                     Surat kabar itu menjatakan bhw propaganda Presiden RPA. Djamal Abdel Nasser telah mulai terasa akibatnja sekarang.
Propaganda ini menurut harian itu disebarkan oleh Federasi Persahabatan Arab jg mempunja pusat2 di Stockholm dan Kopenhagen.
Dikatakan bhw bekas Nazi Johannes Ven Leors jang sekarang dalam pelarian di Kairo, berada dibalik propaganda itu.
Johannes, kata harian itu, setelah terlebih dahulu bekerdja di Argentina untuk beberapa lamanja, kini dgn resmi dipe kerdjakan pada Kementerian Propaganda RPA.
Johannes, Katanja, te h mengumpulkan sedjumlah perserikatan2 di bawah gerahan Neo Sosialisme Eropah"". ",,"=AI(""Please translate to english, do not translate inside doble quotes"",F842)"
Duta Masjarakat,1965-07-14,2,Kongres ke-X SB Postel di Djakarta,"Djakarta, 14 Djuli (DM), Panitia Kongres ke X SB Postel jang telah dibentuk sebulan jang lalu di Djakarta mengabarkan bahwa kongres ke X SB POSTEL akan diadakan di Djakarta mulai tgl 18 sampai dengan 28 Djuli jad.                                                                          Kongres ini akan didahului sidang DPP (Pleno) SB Postel pada tanggal 16 dan 17 Djuli menurut Panitia Kongres ini akan dihadiri oleh i.k. 800 utusan dari seluruh pelosok tanah air termasuk utusan dari Irian Barat.                                                                                                      Adapun tema Kongres ini adalah ""DENGAN TRISAKI TAVIP MELAKSANAKAN PATRIOTISME DIBIDANG POS & TELEKOMUNIKASI"". Dapat ditambahkan bahwa beberapa menteri telah menjatakan kesediaannja untuk berbitjara didepan Kongres tsb. Disamping itu mendjelang berlangsungnja Kongres tsb panitia telah menerima banjak sambutan2 tertulis. ",,"=AI(""Please translate to english, do not translate inside doble quotes"",F843)"
Bintang Timur ,1963-04-18,1,Ketua DPRGR terima saran2 Komisi F,"Wakil Ketua DPA Sartono SH selaku anggota Panitia Retooling Aparatur Negara Selasa jl. telah menerima saran dan sumbangan pikiran dari komisi F (Keuangan) DPRGR mengenai pemberian wibawa kepada Badan Pemeriksa Keuangan jang sampai sekarang dapat dikatakan lumpuh itu.
Ketua komisi F Drs Piry menerangkan kepada ""Antara"", bahwa atas permintaan Sartono SH komisi F telah menjampaikan sumbangan2 pikiran mengenai kedudukan, tugas dan komposisi daripada Badan Pemeriksa Keuangan dalam usaha, memberikan ""gigi"" kepada badan jang sangat penting artinja dalam bidang pengontrolan pengeluaran keuangan negara itu. Dikatakannja, dalam pertemuan digedung DPRGR itu, Sartono SH telah menjatakan bahwa usul2 jang diadjukan oleh pihak komisi F itu pada pokoknja adalah sesuai dengan pendapatnja. Sartono djuga menjatakan, bahwa ia akan menjelesaikan rantjangan peraturan perundingan mengenai Badan Pemeriksa Keuangan itu setjepat2nja.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F844)"
Indonesia Merdeka,1960-02-05,1,Pertjetakan Nasional akan Didesak,"Grafika Nasional tjabang B.masin pernah membikin resolusi jg menuntut kepada Pemerintah agar dikota ini djangan di tambah lagi perusahaan pertjetakan karena djumlah pertjetakan jg ada dikota ini sudah lebih dari tjukup. Apa pula kalau dibandingkan pada keadaan sebelum perang.
Akan tetapi sementara itu berhubung dikota ini akan didirikan Pertjetakan Negara jg perlengkapannja serba modern dan sempurna, beberapa kalangan pertjetakan dikota ini mendjadi heran dan tidak mengerti, apa sebabnja dalam keadaan jg sudah terkelebihan itu pihak Pemerintah merasa perlu harus mendirikan Pertjetakan Negara.
Oleh karena kalangan pertjetakan dikota ini jakin, bahwa Pemerintah akan membimbing, mempermodern pertjetakan nasional, dan tidak akan membikin lumpuhnja pertjetakan nasional, kabarnja dari beberapa orang pengusaha pertjetakan nasional, dikota ini akan di sampaikan keberatannja melalui persatuan pertjetakan Grafika Nasional",,"=AI(""Please translate to english, do not translate inside doble quotes"",F845)"
